Date,Open,High,Low,Close,Adj Close,Volume
2013-10-07,91.489998,93.959999,91.120003,93.949997,76.469490,2897300
2013-10-14,93.480003,96.070000,92.839996,96.029999,78.162453,3334600
2013-10-21,96.099998,97.550003,94.580002,97.110001,79.041519,3979500
2013-10-28,97.000000,101.370003,96.870003,99.209999,80.750832,4075300
2013-11-04,99.370003,99.989998,96.230003,97.550003,79.399673,3494500
2013-11-11,97.550003,98.959999,96.040001,98.559998,80.221748,2579700
2013-11-18,98.629997,98.849998,94.510002,96.290001,78.374115,4270300
2013-11-25,96.500000,98.160004,95.860001,96.889999,79.267273,2373500
2013-12-02,96.739998,97.290001,95.690002,97.160004,79.488182,3160000
2013-12-09,97.150002,97.849998,94.650002,94.839996,77.590126,3146700
2013-12-16,95.250000,96.820000,93.150002,96.300003,78.784599,3549400
2013-12-23,96.589996,96.970001,95.050003,96.279999,78.768219,1314300
2013-12-30,96.379997,97.849998,95.480003,95.809998,78.383705,2434900
2014-01-06,95.830002,98.900002,95.180000,97.860001,80.060844,5139300
2014-01-13,97.620003,99.599998,97.360001,98.580002,80.649887,4220200
2014-01-20,99.150002,99.980003,97.809998,98.120003,80.273544,2995500
2014-01-27,98.169998,99.820000,96.500000,99.400002,81.320770,6106300
2014-02-03,98.970001,101.430000,97.660004,100.379997,82.122498,8314300
2014-02-10,100.400002,105.459999,100.029999,105.279999,86.131287,5219800
2014-02-17,104.839996,108.470001,104.610001,107.699997,88.111130,5405800
2014-02-24,107.419998,108.690002,104.629997,105.820000,86.964645,8127700
2014-03-03,105.309998,107.540001,104.820000,105.639999,86.816696,4368200
2014-03-10,105.750000,106.830002,104.910004,106.199997,87.276939,4283200
2014-03-17,106.620003,106.650002,103.639999,104.839996,86.159256,4617900
2014-03-24,104.839996,105.220001,102.510002,103.239998,84.844337,5203700
2014-03-31,103.839996,104.680000,102.550003,102.970001,84.622467,5121800
2014-04-07,103.059998,103.720001,97.940002,98.320000,80.801003,8397300
2014-04-14,98.489998,100.639999,98.400002,100.610001,82.682976,2896700
2014-04-21,100.599998,100.849998,95.110001,96.360001,79.190254,7948700
2014-04-28,96.599998,97.480003,95.400002,96.980003,79.699783,5785200
2014-05-05,96.610001,98.290001,95.339996,96.029999,78.919060,6731800
2014-05-12,96.250000,96.919998,95.760002,96.620003,79.403946,4579100
2014-05-19,95.830002,97.680000,95.790001,97.040001,79.749084,4885700
2014-05-26,97.279999,97.529999,95.820000,97.339996,80.395744,3363700
2014-06-02,97.330002,98.260002,95.930000,98.120003,81.039978,4729300
2014-06-09,98.050003,98.550003,96.320000,97.639999,80.643555,3548900
2014-06-16,97.370003,100.160004,97.180000,100.129997,82.700089,5315000
2014-06-23,100.000000,100.120003,95.970001,96.919998,80.048874,4310700
2014-06-30,96.879997,97.739998,96.040001,96.629997,79.809341,3392400
2014-07-07,96.709999,97.440002,95.750000,96.449997,79.660652,3743100
2014-07-14,96.489998,96.820000,91.080002,93.849998,77.513290,10839300
2014-07-21,93.500000,94.059998,91.339996,92.529999,76.423058,6025900
2014-07-28,92.470001,92.750000,87.879997,89.099998,73.590103,7900300
2014-08-04,89.010002,90.500000,88.349998,90.400002,74.663811,6359700
2014-08-11,90.360001,92.720001,90.099998,91.419998,75.506256,5902500
2014-08-18,91.449997,92.139999,91.309998,91.989998,75.977028,4472200
2014-08-25,91.820000,92.330002,90.889999,91.419998,75.948105,4490000
2014-09-01,91.410004,92.000000,89.629997,90.580002,75.250275,4196500
2014-09-08,90.669998,92.739998,90.519997,92.669998,76.986565,6895800
2014-09-15,92.739998,94.500000,92.089996,93.860001,77.975197,5886000
2014-09-22,93.930000,94.309998,92.339996,93.209999,77.435173,4003900
2014-09-29,92.809998,95.650002,92.739998,93.690002,77.833946,6411600
2014-10-06,93.849998,94.820000,92.540001,93.220001,77.443466,4685000
2014-10-13,93.199997,93.489998,89.669998,92.010002,76.438271,6071600
2014-10-20,92.000000,95.320000,91.620003,94.129997,78.199486,3946300
2014-10-27,94.300003,96.000000,92.050003,95.910004,79.678223,7021200
2014-11-03,96.000000,96.900002,94.949997,96.430000,80.110237,5680300
2014-11-10,96.500000,97.419998,95.620003,96.059998,79.802826,3555200
2014-11-17,96.059998,96.839996,95.190002,96.290001,79.993919,4866200
2014-11-24,96.449997,100.449997,95.989998,100.279999,83.779037,5230500
2014-12-01,100.239998,101.099998,98.980003,99.800003,83.378021,4631800
